D.O,Temp,PH,Turbidity,CONDUCTIVITY,B.O.D,NITRATENAN N+ NITRITENANN,TOTAL COLIFORM,label
6.7,20.44,7.74,197,90,1.6,0.9,473,0
6.1,20.42,7.73,197,4429,2,1.6,550,0
6.7,20.42,7.73,197,87,1.7,0.2,350,0
6.9,20.42,7.73,197,85,1.6,0.2,206,0
2.1,20.41,7.73,197,101,1.6,0.8,694,0
2.5,20.41,7.73,197,83,1.9,0.3,656,0
7.2,20.38,7.73,197,75,1.4,1,426,0
3.7,20.38,7.73,197,32005,1.2,0.9,60392,0
6.1,20.4,7.73,197,281,1.2,0.7,718,0
6.7,20.38,7.73,197,106,0.5,2.5,71,0
7.6,20.38,7.73,197,58,1.2,0.1,961,0
1.9,20.37,7.73,197,2941,26.9,2.8,37375,0
7.4,20.36,7.73,197,35,0.1,0,409,0
6.4,20.37,7.73,197,63,1.3,0.4,535,0
5.4,20.37,7.73,197,65,1.1,0.3,144,0
5.6,20.39,7.73,197,90,1.6,0.4,705,0
7.1,20.39,7.73,197,728,1.2,0.4,697,0
5.9,20.39,7.73,197,13953,1.5,0.4,166,0
7.4,20.35,7.73,197,57,1.1,0.3,159,0
7.2,20.36,7.73,197,41,0.7,0.2,658,0
6.5,20.38,7.73,197,71,0.6,0.3,7018,0
6.8,20.35,7.73,197,81,0.8,0,1268,0
6.8,20.37,7.73,197,68,1.7,0.1,660,0
6.6,20.35,7.73,197,70,1.4,0.1,822,0
6.4,20.36,7.73,197,100,0.6,0.9,88,0
7.3,20.37,7.73,197,96,1.9,0.2,825,0
6.8,20.35,7.73,197,49,0.5,0.4,2950,0
5.6,20.37,7.73,197,24360,2.1,0.3,447,0
6.9,20.38,7.73,197,59,0.6,0.5,3375,0
7.1,20.38,7.73,197,14410,1.8,0.1,468,0
6.2,20.36,7.73,197,22757,1.5,0.1,542,0
6.7,20.33,7.72,197,66,0.6,0,626,0
7.2,20.3,7.72,197,59,0.6,0,433,0
6,20.31,7.72,197,120,1.3,1.1,523,0
5.2,20.31,7.72,197,55,0.6,0.7,313,0
4.8,20.29,7.72,197,86,0.7,0.8,332,0
3.9,20.27,7.72,197,62,0.5,0.7,284,0
5,20.26,7.72,197,3185,1.8,0.4,667,0
7,20.27,7.72,197,36,1.1,0.2,541,0
6.3,20.28,7.72,197,64,1.2,0.3,815,0
6.2,20.26,7.72,197,86,1.3,0.2,1007,0
5.7,20.25,7.72,197,2640,1.9,0.5,759,0
5.7,20.27,7.72,197,53,3.1,0.4,1205,0
6.6,20.28,7.72,197,2007,1.3,0.2,785,0
6.6,20.29,7.72,197,46,1.3,0.3,472,0
6.5,20.26,7.72,197,43,0.9,0.4,188,0
6.7,20.26,7.72,197,54,0.9,0.1,610,0
4.3,20.26,7.72,197,113,1.8,0.4,796,0
4.6,20.23,7.72,197,12561,1.5,0.6,171,0
7.7,20.24,7.72,197,61,1.6,0,554,0
5.8,20.22,7.72,197,61,1,0.4,151,0
4.5,20.21,7.72,197,1614,2.1,0.6,230,0
6.9,20.19,7.72,197,20950,1.3,0.2,643,0
6.6,20.16,7.72,197,14487,0.9,0.3,103,0
6.9,20.14,7.72,197,54,0.6,0,1633,0
5.5,20.13,7.72,197,569,1.3,0.9,141,0
5.4,20.13,7.72,197,310,0.8,2.4,107,0
7.1,20.14,7.72,197,516,0.7,0.5,1238,0
6.9,20.13,7.72,197,505,0.9,0.7,1563,0
7.3,20.11,7.72,197,109,2.4,3.4,65,0
7.5,20.09,7.72,197,83,2.1,2,74,0
6.4,20.09,7.72,197,102,1,0,1223,0
6.5,20.07,7.72,197,92,1,0,1342,0
7.7,20.06,7.72,197,232,1.3,0.8,40500,0
7.5,20.08,7.72,197,519,2.1,0.7,53556,0
7.3,20.08,7.72,197,103,0.7,1.7,13810,0
7.4,20.07,7.72,197,196,0.7,0.6,15213,0
7.4,20.07,7.72,197,244,1.9,1,12473,0
7.5,20.09,7.72,197,243,1.7,0.9,30319,0
7.2,20.09,7.72,197,296,1.5,0.7,4314,0
6.6,20.11,7.72,197,25034,1.5,0.9,4224,0
7.5,20.13,7.72,197,194,1,1,8559,0
7.4,20.15,7.72,197,170,0.8,0.9,16709,0
6.5,20.11,7.72,197,1063,2,0.6,374,0
6.8,20.11,7.72,197,63,2.9,0.1,36,0
6.6,20.08,7.72,197,101,2.5,0.2,41,0
6.6,20.08,7.72,197,136,2.5,0.2,45,0
6.7,20.08,7.72,197,226,2.2,0.2,38,0
6.7,20.1,7.73,197,72,2.7,0.2,32,0
6.7,20.08,7.73,197,61,4.6,0.1,34,0
6.6,20.05,7.73,197,1300,2.7,0.2,60,0
6.7,20.05,7.73,197,461,2.5,0.1,51,0
6.6,20.05,7.73,197,69,2.5,0.1,38,0
6.8,20.03,7.73,197,241,2.5,0.1,48,0
6.5,20.05,7.73,197,159,2.4,0.2,41,0
6.6,20.04,7.73,197,170,2.5,0.2,34,0
7.5,19.55,7.82,196,111,2.4,3,506,1
5.3,19.55,7.82,196,831,7.7,3.2,36,0
7.2,19.51,7.83,196,56,1.7,2.6,42,1
7.5,19.46,7.83,196,66,1.6,2.5,44,1
7.8,19.46,7.84,196,74,2.3,4.3,108,1
6.7,19.43,7.85,196,1350,3.3,1.1,16,1
7.3,19.43,7.85,196,274,2.5,2.4,386,1
7.4,19.39,7.86,196,67,1.8,2.5,55,1
7.2,19.37,7.86,196,82,2,2.8,61,1
7.3,19.34,7.87,196,55,1.9,2.5,53,1
7.3,19.3,7.88,196,57,2,2.4,50,1
6.6,19.26,7.88,196,114,2.6,2.8,3108,1
7.3,19.25,7.89,196,56,1.8,2.1,34,1
5.1,19.25,7.89,196,105,3.6,4.7,780,1
7.3,19.22,7.9,196,51,1.6,2.4,40,1
7.7,19.23,7.9,196,50,1.6,2,36,1
7.6,19.22,7.91,196,115,2.1,3.7,528,1
6.2,19.21,7.92,196,81,2.4,5.1,79,1
7.2,19.21,7.92,196,66,1.9,3.4,63,1
7.4,19.19,7.93,196,57,1.5,2.9,40,1
7.5,19.16,7.93,196,144,1.7,3.5,59,1
7.1,19.15,7.94,196,63,1.9,5.6,48,1
7.3,19.12,7.94,196,65,1.9,3.3,48,1
7.3,19.11,7.95,196,65,2,3,54,1
5.7,18.54,8.1,196,111,1,0.14,3061,1
6.4,18.53,8.11,196,140,1.1,0.1,7908,1
6.2,18.52,8.11,196,44,2,0.06,9320,1
6.1,18.52,8.11,196,43,1.8,0.06,9554,1
7,18.53,8.11,196,64,1.1,0.09,2841,1
6.6,18.51,8.12,196,62,1,0.14,7190,1
7,18.52,8.12,196,304,2,0.49,23867,1
7,18.53,8.12,196,55,1.2,0.66,2813,1
6.3,18.54,8.12,196,213,1.5,0.06,7069,1
6.7,18.52,8.13,196,83,1.2,0.17,3559,1
7.1,18.51,8.13,196,76,1,0.12,3527,1
6.7,18.52,8.13,196,107,1.3,0.22,3757,1
7.2,18.5,8.13,196,89,0.9,0.06,1996,1
4.2,18.48,8.14,196,192,2,0.16,9286,1
6.3,18.48,8.14,196,79,1.6,0.19,6054,1
5.6,18.46,8.14,196,142,1.7,0.14,3644,1
2.8,18.46,8.14,196,424,3.2,0.35,21036,1
5.2,18.48,8.15,196,306,2.6,0.34,1525,1
5.6,18.46,8.15,196,40,1.5,0.07,7130,1
5.5,18.46,8.15,196,40,1.5,0.08,12282,1
6.9,18.44,8.15,196,63,0.9,0.21,1132,1
6.3,18.45,8.15,196,227,1.7,0.08,3612,1
7.1,18.43,8.15,196,68,1.1,0.13,8167,1
6.9,18.42,8.16,196,121,3.3,1,163,1
7.2,18.4,8.16,196,112,3.3,1,94,1
6.9,18.41,8.16,196,103,3.7,0.57,103,1
6.9,18.4,8.16,196,104,3.5,0.75,79,1
6.4,18.38,8.16,196,1003,4.3,2.89,753,1
6.3,18.4,8.17,196,408,2.7,1.58,157,1
6.7,18.37,8.17,196,105,3.6,1,89,1
6.3,18.38,8.17,196,209,4.4,1.86,98,1
5.9,18.37,8.17,196,13768,5,1.79,300,1
7.3,18.38,8.17,196,86,3.2,1,93,1
3.6,18.37,8.17,196,6487,30.5,1.5,745,1
6.3,18.4,8.17,196,999,3.3,1.78,112,1
7.2,18.41,8.18,196,125,3.3,1,89,1
7.1,18.4,8.18,196,127,3.4,4.4,63,1
7.1,18.4,8.18,196,5300,38,1,667,1
7.2,18.41,8.18,196,127,3.2,1,51,1
7,18.41,8.18,196,126,3.3,1,63,1
7.2,18.39,8.18,196,126,3.4,1.89,64,1
7.1,18.38,8.18,196,112,3.2,0.63,88,1
6.8,18.39,8.19,196,9590,3.6,4.57,124,1
6.8,18.36,8.19,196,174,3.7,2.26,124,1
6.8,18.34,8.19,196,2572,3.3,4.22,118,1
6.7,18.33,8.19,196,6030,4.4,4.78,138,1
6.8,18.31,8.19,196,7207,3.9,4.25,120,1
6.8,18.3,8.19,196,167,3.8,1,85,1
6.8,18.29,8.19,196,173,3.5,1,98,1
7,18.27,8.19,196,168,3.6,1,83,1
6.9,18.29,8.2,196,131,3.5,0.75,96,1
7,18.29,8.2,196,125,3.5,0.6,63,1
7.2,18.28,8.2,196,132,3.3,0.9,88,1
7.2,18.26,8.2,196,119,3.3,1,68,1
6.9,18.24,8.2,196,159,2.8,1,82,1
6.7,18.24,8.2,196,141,3.3,3,90,1
7.3,18.25,8.2,196,132,2.9,2,88,1
6.4,18.25,8.2,196,76,1.7,0.62,788,1
6,18.24,8.2,196,85,1.7,0.53,538,1
6.3,18.22,8.2,196,69,1.3,0.57,593,1
6.5,18.22,8.21,196,76,1.6,0.55,545,1
6.7,18.2,8.21,196,60,1.2,0.34,435,1
7,18.23,8.21,196,3544,1.5,0.37,435,1
6.7,18.24,8.21,196,51,0.8,0.35,1567,1
6.9,18.26,8.21,195,107,0.7,0.46,443,1
6.7,18.24,8.21,195,173,0.9,0.56,426,1
5.6,18.23,8.21,195,126,1.2,0.67,990,1
7.3,18.23,8.21,195,70,0.8,0.31,4208,1
6.9,18.23,8.21,195,12754,0.8,0.29,2557,1
7.1,18.23,8.21,195,80,0.6,0.5,2831,1
7.2,18.22,8.21,195,62,1.3,0.11,150,1
3.4,18.21,8.21,195,2965,2.3,1.11,1236,1
6.1,18.19,8.21,195,15871,0.9,0.25,2975,1
6.4,18.2,8.22,195,120,1.9,0.77,618,1
6.2,18.19,8.22,195,7448,2,1.01,483,1
6.6,18.2,8.22,195,77,1.6,0.29,756,1
6.8,18.21,8.22,195,72,1.7,0.2,785,1
2.9,18.21,8.22,195,305,2.2,1.28,1623,1
3,18.2,8.22,195,86,2,0.39,1319,1
6.7,18.18,8.22,195,79,1.6,0.34,738,1
3.6,18.17,8.22,195,32790,2.6,0.59,112867,1
6.1,18.16,8.22,195,2905,1.3,0.54,997,1
6.9,18.18,8.22,195,112,0.5,0.35,67,1
7,18.18,8.22,195,51,1.1,0.18,317,1
3.1,18.17,8.22,195,1416,13.2,4.41,19917,1
7,18.14,8.22,195,30,0.5,0.32,496,1
6.1,18.13,8.22,195,59,1.8,0.58,282,1
6,18.14,8.22,195,61,2.1,0.28,300,1
6.3,18.13,8.22,195,105,2.8,0.37,543,1
6.9,18.13,8.22,195,502,0.9,0.72,615,1
5.9,18.15,8.22,195,14662,1.5,0.52,377,1
7.8,18.16,8.22,195,49,1.4,0.3,319,1
7.1,18.18,8.22,195,380,1,0.14,66382,1
7.3,18.18,8.22,195,67,0.9,0.38,3471,1
6.2,18.2,8.22,195,51,0.8,0.23,942,1
7.2,18.22,8.22,195,69,1.2,0.45,941,1
6.9,18.23,8.22,195,75,2.5,0.4,701,1
6.3,18.24,8.22,195,113,0.6,0.88,128,1
7.6,18.25,8.23,195,79,1.6,0.31,109,1
7,18.24,8.23,195,57,0.6,0.46,3558,1
5.9,18.22,8.23,195,22576,1.5,0.35,253,1
6.8,18.24,8.23,195,105,0.6,0.39,2392,1
6.3,18.25,8.23,195,2315,1.3,0.17,278,1
6.4,18.26,8.23,195,18569,1,0.27,277,1
6.6,18.27,8.23,195,45,0.6,0.39,940,1
6.9,18.26,8.23,195,42,0.5,0.18,774,1
6,18.26,8.23,195,92,1.7,0.56,597,1
6.1,18.26,8.23,195,59,0.7,1.04,311,1
4.5,18.23,8.23,195,1190,0.7,1.17,388,1
4.2,18.23,8.23,195,69,0.6,1.04,420,1
6,18.24,8.23,195,5569,2.2,0.68,1894,1
7.3,18.2,8.23,195,34,1,0.27,927,1
6.3,18.19,8.23,195,44,1.6,0.32,1876,1
6.4,18.16,8.23,195,49,1.4,0.23,1357,1
5.9,18.17,8.23,195,3272,2.2,0.62,1284,1
4.6,18.16,8.23,195,65,1.7,0.28,1937,1
6.5,18.17,8.23,195,4650,2,1,1573,1
6.5,18.18,8.23,195,42,1.4,1,1221,1
6.4,18.15,8.23,195,45,1.2,1,376,1
6,18.14,8.23,195,56,1.2,0,438,1
5.3,18.14,8.23,195,99,2.8,0.79,523,1
3.6,18.12,8.23,195,22131,1.8,0.95,261,1
6.9,18.13,8.23,195,66,1.8,0,205,1
6,18.15,8.23,195,67,1.5,3.69,398,1
4.9,18.15,8.23,195,9107,1.6,1,614,1
6.3,18.12,8.23,195,18931,1.4,1,201,1
6.6,18.13,8.23,195,15525,1.1,0.06,347,1
7.1,18.11,8.23,195,46,0.8,1,1097,1
6,18.1,8.23,195,432,1.2,3,78,1
6.1,18.12,8.23,195,328,1.2,1,211,1
5.8,18.11,8.23,195,707,0.6,0.85,1100,1
6.1,18.12,8.23,195,674,0.9,1,1260,1
7.3,18.11,8.23,195,164,2.3,1,336,1
7.6,18.1,8.23,195,122,2.4,1,834,1
6.5,18.11,8.23,195,95,1,0,212,1
6.5,18.13,8.23,195,56,1,0,79,1
7.5,18.1,8.23,195,237,1.4,0.89,18918,1
7.6,18.07,8.23,195,3688,2.3,2.66,32918,1
7.3,18.05,8.23,195,82,1.2,1.58,17512,1
7.5,18.06,8.23,195,202,1.4,1.89,23191,1
7.3,18.04,8.23,195,232,2.9,2.23,30836,1
7.4,18.02,8.23,195,246,2.3,1.9,3900,1
6.9,18,8.23,195,3960,2,2.26,22523,1
7,18,8.23,195,28222,1.8,2.54,10469,1
7.2,17.98,8.23,195,201,1.3,1.59,31034,1
7.3,17.96,8.23,195,221,1.2,2.26,5289,1
6.7,17.98,8.22,195,1088,1.7,0,474,1
7.2,17.97,8.22,195,73,3.1,0,59,1
6.7,17.95,8.22,195,98,3.3,1.5,74,1
6.3,17.94,8.22,195,143,4,4,124,1
6.6,17.95,8.22,195,260,5.4,1,53,1
7.1,17.95,8.22,195,71,3.5,1,82,1
6.9,17.93,8.22,195,65,3.5,0,52,1
7.3,17.94,8.22,195,607,3.6,0.88,104,1
6.1,17.92,8.22,195,446,5.2,0.56,77,1
6.9,17.92,8.22,195,94,3.2,1.59,65,1
6.8,17.94,8.23,195,451,9.4,0.55,58,1
6,17.93,8.23,195,169,3.9,2,84,1
6.5,17.93,8.23,195,187,3.3,3,113,1
4.8,17.9,8.23,195,295,0.8,0,9,1
7.1,17.88,8.23,195,293,1.3,0,19,1
7.1,17.86,8.23,195,316,1.4,0,22,1
6.6,17.85,8.23,195,274,1.6,0,24,1
4.9,17.88,8.23,195,407,16.3,0,120,1
4.9,17.87,8.23,195,603,1,0,5,1
5.5,17.89,8.23,195,138,0.8,0,6,1
5.5,17.9,8.23,195,625,1.1,0,6,1
5,17.89,8.23,195,305,1.7,0,12,1
5.6,17.9,8.23,195,552,1.1,0,6,1
7.3,17.89,8.23,195,402,2.1,0,32,1
7.2,17.9,8.23,195,99,2.2,1,57,1
7.2,17.88,8.24,195,102,2.2,1,56,1
7.6,17.89,8.24,195,72,1.8,2.56,57,1
7.1,17.88,8.24,195,131,2.2,3.2,413,1
5.2,17.88,8.24,195,682,7.8,1.5,30,1
7.3,17.86,8.24,195,47,1.3,2,48,1
7.6,17.85,8.24,195,52,1.2,2,36,1
8,17.83,8.24,195,64,1.8,3.38,49,1
7.9,17.82,8.24,195,46,1.4,1,29,1
7.4,17.8,8.24,195,53,1.9,3,32,1
7.7,17.78,8.24,195,55,1.6,3,63,1
6.8,17.77,8.24,195,1074,3.2,2.33,11,1
7.1,17.79,8.24,195,237,3.8,4.56,1072,1
7.8,17.81,8.24,195,50,1.6,1.77,41,1
7.3,17.8,8.24,195,71,2,2.66,47,1
7.3,17.79,8.24,195,91,1.8,3.3,45,1
7.4,17.79,8.24,195,49,1.7,2.44,42,1
6.5,17.79,8.24,195,99,2.7,3.56,2722,1
7.5,17.8,8.24,195,50,1.5,2.21,23,1
5.8,17.78,8.24,195,68,3.1,4.9,463,1
6.9,17.79,8.24,195,44,1.4,2.66,33,1
7.8,17.78,8.24,195,93,1.9,2.99,444,1
6.6,17.77,8.24,195,66,2.3,4,63,1
7.6,17.78,8.25,195,53,1.7,3,53,1
7.8,17.79,8.25,195,47,1.4,2,35,1
7.7,17.81,8.25,195,128,1.6,3.32,56,1
7.1,17.81,8.25,195,54,1.8,2.58,43,1
7.4,17.81,8.25,195,69,1.6,3.3,87,1
7.5,17.83,8.25,195,58,1.6,2.25,46,1
